,won,games,max stake,% won
125,True,18,4000.0,56.00000000000001
126,False,10,7000.0,40.0
127,False,22,7000.0,41.0
128,True,18,8000.0,56.00000000000001
129,False,11,8000.0,45.0
130,True,22,8000.0,45.0
131,True,13,4000.0,77.0
132,True,19,7000.0,57.99999999999999
133,False,6,5000.0,33.0
134,False,11,4000.0,27.0
135,False,17,6000.0,35.0
136,True,18,8000.0,56.00000000000001
137,False,14,8000.0,43.0
138,True,15,4000.0,67.0
139,False,31,8000.0,52.0
140,False,4,4000.0,0.0
141,True,20,8000.0,50.0
142,True,21,4000.0,48.0
143,False,8,5000.0,25.0
144,False,15,8000.0,33.0
145,True,30,4000.0,50.0
146,False,8,6000.0,38.0
147,True,16,4000.0,62.0
148,True,15,2000.0,67.0
149,False,13,5000.0,31.0
150,True,17,8000.0,59.0
151,True,20,6000.0,60.0
152,True,15,8000.0,67.0
153,True,16,4000.0,62.0
154,True,23,7000.0,56.99999999999999
155,False,6,5000.0,33.0
156,True,19,8000.0,53.0
157,True,12,4000.0,83.0
158,False,8,7000.0,50.0
159,False,8,6000.0,38.0
160,False,4,4000.0,0.0
161,False,13,8000.0,46.0
162,True,14,4000.0,71.0
163,True,15,4000.0,67.0
164,True,19,4000.0,53.0
165,False,9,6000.0,33.0
166,False,15,8000.0,40.0
167,False,4,4000.0,0.0
168,True,14,4000.0,71.0
169,True,11,2000.0,91.0
170,False,22,8000.0,45.0
171,False,9,6000.0,33.0
172,False,9,5000.0,22.0
173,False,35,4000.0,54.0
174,True,24,8000.0,46.0
175,True,17,4000.0,59.0
176,True,19,8000.0,57.99999999999999
177,True,19,4000.0,53.0
178,True,15,4000.0,67.0
179,True,16,4000.0,62.0
180,True,18,4000.0,56.00000000000001
181,True,19,4000.0,53.0
182,False,12,7000.0,33.0
183,True,14,2000.0,71.0
184,True,26,4000.0,57.99999999999999
185,False,6,4000.0,17.0
186,True,31,6000.0,48.0
187,False,9,6000.0,33.0
188,True,24,8000.0,62.0
189,True,21,8000.0,48.0
190,False,13,4000.0,46.0
191,False,4,4000.0,0.0
192,False,4,4000.0,0.0
193,False,33,6000.0,36.0
194,False,11,6000.0,27.0
195,True,15,4000.0,67.0
196,True,22,5000.0,59.0
197,True,31,8000.0,42.0
198,False,11,6000.0,27.0
199,False,15,5000.0,33.0
200,True,22,6000.0,55.00000000000001
201,False,10,8000.0,50.0
202,True,21,8000.0,48.0
203,False,19,8000.0,47.0
204,True,14,2000.0,71.0
205,True,22,8000.0,50.0
206,False,16,4000.0,31.0
207,True,13,2000.0,77.0
208,True,22,8000.0,45.0
209,False,12,4000.0,33.0
210,False,9,6000.0,33.0
211,True,19,8000.0,53.0
212,False,4,4000.0,0.0
213,False,12,4000.0,25.0
214,True,19,8000.0,53.0
215,True,15,2000.0,67.0
216,False,26,8000.0,38.0
217,False,7,5000.0,28.999999999999996
218,False,7,5000.0,28.999999999999996
219,True,27,6000.0,56.00000000000001
220,True,16,4000.0,62.0
221,False,18,8000.0,44.0
222,True,20,4000.0,50.0
223,True,19,4000.0,53.0
224,False,12,8000.0,42.0
225,False,14,8000.0,43.0
226,True,19,4000.0,53.0
227,False,24,8000.0,38.0
228,True,19,4000.0,53.0
229,True,17,4000.0,59.0
230,True,16,4000.0,62.0
231,True,35,8000.0,63.0
